OBJECTID,Inventory_Date,Family,Genus,Common_name,Genus_species,TreeHeight,Native,Edible,PropertyID,Carbon_Storage_lb,Carbon_Storage_value,Carbon_Sequestration_lb,Carbon_Sequestration_value,Pollution_Removal_value,Pollution_Removal_oz
426,2017/05/09 00:00:00+00,Pinaceae,Pseudotsuga,Douglas-fir,Pseudotsuga menziesii,105.0,Yes,,137.0,3223.3,209.07,36.8,2.39,18.25,40.4
427,2017/05/09 00:00:00+00,Pinaceae,Pseudotsuga,Douglas-fir,Pseudotsuga menziesii,94.0,Yes,,137.0,2460.8,159.62,31.3,2.03,16.15,35.8
428,2017/05/09 00:00:00+00,Rosaceae,Crataegus,Lavalle hawthorn,Crataegus x lavalleei,23.0,No,,137.0,310.3,20.13,14.8,0.96,4.31,9.5
429,2017/05/09 00:00:00+00,Fagaceae,Quercus,northern red oak,Quercus rubra,28.0,No,,137.0,400.1,25.95,6.0,0.39,4.65,10.3
430,2017/05/09 00:00:00+00,Pinaceae,Pseudotsuga,Douglas-fir,Pseudotsuga menziesii,102.0,Yes,,137.0,2533.4,164.33,32.0,2.08,14.03,31.1
431,2017/05/09 00:00:00+00,Pinaceae,Pseudotsuga,Douglas-fir,Pseudotsuga menziesii,95.0,Yes,,137.0,2333.7,151.38,30.8,2.0,10.36,22.9
432,2017/05/09 00:00:00+00,Pinaceae,Pseudotsuga,Douglas-fir,Pseudotsuga menziesii,103.0,Yes,,137.0,1874.5,121.59,26.8,1.74,12.1,26.8
433,2017/05/09 00:00:00+00,Pinaceae,Pseudotsuga,Douglas-fir,Pseudotsuga menziesii,105.0,Yes,,137.0,1709.7,110.9,25.5,1.65,10.36,22.9
434,2017/05/09 00:00:00+00,Pinaceae,Pseudotsuga,Douglas-fir,Pseudotsuga menziesii,97.0,Yes,,137.0,2876.5,186.58,34.3,2.22,17.99,39.9
435,2017/05/09 00:00:00+00,Pinaceae,Pseudotsuga,Douglas-fir,Pseudotsuga menziesii,112.0,Yes,,137.0,2355.4,152.78,31.1,2.02,8.75,19.4
436,2017/05/09 00:00:00+00,Pinaceae,Pseudotsuga,Douglas-fir,Pseudotsuga menziesii,112.0,Yes,,137.0,2689.8,174.47,33.0,2.14,16.15,35.8
437,2017/05/09 00:00:00+00,Fagaceae,Quercus,northern red oak,Quercus rubra,48.0,No,,137.0,981.1,63.64,30.6,1.99,3.97,8.8
438,2017/05/09 00:00:00+00,Pinaceae,Pseudotsuga,Douglas-fir,Pseudotsuga menziesii,92.0,Yes,,137.0,2151.4,139.55,28.8,1.87,15.13,33.5
439,2017/05/11 00:00:00+00,Cannabaceae,Celtis,common hackberry,Celtis occidentalis,28.0,No,,34.0,318.0,20.63,15.1,0.98,4.7,10.4
440,2017/05/11 00:00:00+00,Rosaceae,Prunus,flowering plum,Prunus cerasifera,39.0,No,,34.0,3876.4,251.44,70.6,4.58,8.35,18.5
441,2017/05/11 00:00:00+00,Rosaceae,Prunus,flowering plum,Prunus cerasifera,36.0,No,,34.0,1704.1,110.54,14.5,0.94,5.95,13.2
442,2017/05/11 00:00:00+00,Rosaceae,Crataegus,Lavalle hawthorn,Crataegus x lavalleei,31.0,No,,34.0,560.4,36.35,28.0,1.82,5.42,12.0
443,2017/05/11 00:00:00+00,Fabaceae,Cercis,eastern redbud,Cercis canadensis,26.0,No,,34.0,56.3,3.65,5.5,0.36,1.49,3.3
444,2017/05/11 00:00:00+00,Rosaceae,Malus,ornamental crabapple,Malus spp.,34.0,No,,34.0,472.3,30.64,6.3,0.41,5.08,11.3
445,2017/05/11 00:00:00+00,Magnoliaceae,Magnolia,saucer magnolia,Magnolia x soulangeana,27.0,No,,34.0,199.5,12.94,11.5,0.74,2.87,6.3
446,2017/05/11 00:00:00+00,Rosaceae,Malus,ornamental crabapple,Malus spp.,18.0,No,,34.0,621.8,40.33,22.2,1.44,3.76,8.3
447,2017/05/11 00:00:00+00,Rosaceae,Malus,ornamental crabapple,Malus spp.,17.0,No,,34.0,277.1,17.98,4.6,0.3,2.66,5.9
448,2017/05/11 00:00:00+00,Rosaceae,Malus,ornamental crabapple,Malus spp.,23.0,No,,34.0,306.7,19.89,4.9,0.31,3.14,7.0
